,,,Sr #,Compliance name,Country,Sr #,Cyber,Risk Category,Risk level,Service,Rule Name#,CyberQ Rule ID,Rule from Scanner,Match,Implemented in AWAF Folder,Added in Rule Set ,Version,Rational,AWS Ref Link,Remediation Link,Compliance Appliable,CIS Control ID,CIS Control Dis,NIST Control ID,NIST  Control Dis,ISO Control ID,ISO Control Dis,CCM v3 Control ID,CCM v3 Control Dis,AWAF Control ID,AWAF Control Dis,PCI DSS v3.2.1
Control id,PCI DSS v3.2.1
Control dis,GDPR Control ID,GDPR Control dis,,Jira Refernce ,Remediation 
,master_rule_id,,1234ffhkh,RBI (Cyber Security Framework ),India,#REF!,CQ-AWS-ACA-001,User,HIGH,AccessAnalyzer,Ensure that IAM Access analyzer is enabled,CQ-AWS-ACA-001,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-VPC-080,,2,ISO 22301,Global,#REF!,CQ-AWS-ACM-001,Data,HIGH,ACM,Ensure expired SSL/TLS certificates are removed from AWS Certificate Manager (ACM).,CQ-AWS-ACM-001,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-VPC-058,,cxvx,ISO/IEC 27017,Global,#REF!,CQ-AWS-ACM-002,Data,MEDIUM,ACM,Ensure Amazon Certificate Manager (ACM) certificates are renewed before their expiration.(30 days before),CQ-AWS-ACM-002,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-EC2-033,,4,MAS-TRM 2021,Singapore,#REF!,CQ-AWS-ACM-006,Data,LOW,ACM,ACM certificates should be configured to use DNS validation.,CQ-AWS-ACM-006,#REF!,#REF!,TBD,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-EC2-055,,5,NESA  (National Electronic Security Authority) ,UAE,#REF!,CQ-AWS-ACM-007,Data,LOW,ACM,ACM Certificate with Transparency Logging Set to Disabled,CQ-AWS-ACM-007,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-EC2-081,,6,ISR  v2 (Dubai Government Information Security Regulation),Dubai,#REF!,CQ-AWS-ACM-008,Data,HIGH,ACM,Ensure that wildcard certificates issued by Amazon Certificate Manager (ACM) or imported to ACM are not in use,CQ-AWS-ACM-008,#REF!,#REF!,TBD,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-EC2-084,,7,ADISS V2,Dubai,#REF!,CQ-AWS-APIG-001,Network,MEDIUM,APIGateway,Use AWS WAF to protect Amazon API Gateway APIs from common web exploits.,CQ-AWS-APIG-001,#REF!,#REF!,TBD,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-EC2-086,,8,SAMA  (Saudi Arabian Monetary Authority),Saudi Arabia,#REF!,CQ-AWS-APIG-003,Network,MEDIUM,APIGateway,Ensure APIs created with Amazon API Gateway have AWS CloudWatch logging enabled.,CQ-AWS-APIG-003,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-EC2-088,,9,NCC ECC (National and international Cybersecurity Frameworks),Saudi Arabia,#REF!,CQ-AWS-APIG-004,Network,MEDIUM,APIGateway,Ensure detailed CloudWatch metrics are enabled for Amazon API Gateway APIs stages.,CQ-AWS-APIG-004,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-EC2-089,,10,NCA CCC (National Cybersecurity Authority Cloud Cybersecurity Controls ),Saudi Arabia,#REF!,CQ-AWS-APIG-005,Network,MEDIUM,APIGateway,Use client-side SSL certificates for HTTP backend authentication within AWS API Gateway.,CQ-AWS-APIG-005,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-EC2-094,,11,ASAE 3150 Security of CDR Data,,#REF!,CQ-AWS-APIG-006,Data,MEDIUM,APIGateway,Ensure APIs created with Amazon API Gateway have Content Encoding feature enabled.,CQ-AWS-APIG-006,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-IAM-065,,12,APRA CPS 234,Australia,#REF!,CQ-AWS-APIG-007,Network,MEDIUM,APIGateway,Ensure APIs created with Amazon API Gateway are only accessible via private endpoints.,CQ-AWS-APIG-007,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-IAM-082,,13,FEDRAM,,#REF!,CQ-AWS-APIG-008,Network,MEDIUM,APIGateway,Ensure that SSL certificates associated with API Gateway REST APIs are rotated periodically.,CQ-AWS-APIG-008,#REF!,#REF!,TBD,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-S3-036,,14,HITRUST CSF,,#REF!,CQ-AWS-ASG-001,Network,MEDIUM,AutoScaling,Ensure Auto Scaling Group has an associated Elastic Load Balancer.,CQ-AWS-ASG-001,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-WAF-001,,15,NIS Europe,,#REF!,CQ-AWS-ASG-002,Data,HIGH,AutoScaling,Ensure Amazon Auto Scaling Groups are utilizing cooldown periods.,CQ-AWS-ASG-002,#REF!,#REF!,TBD,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-WAF-003,,16,FISC Security,,#REF!,CQ-AWS-ASG-003,Data,MEDIUM,AutoScaling,Ensure AWS Auto Scaling Group is using the appropriate health check configuration to determine the health status of its instances.,CQ-AWS-ASG-003,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-SFN-001,,17,LGPD (Brazil),,#REF!,CQ-AWS-ASG-004,Data,MEDIUM,AutoScaling,Ensure AWS ASG Notifications feature is enabled within your Auto Scaling Groups settings.,CQ-AWS-ASG-004,#REF!,#REF!,TBD,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-SFN-002,,18,Aus Gov ISM,,#REF!,CQ-AWS-ASG-005,Network,HIGH,AutoScaling,Ensure Amazon Auto Scaling Groups are utilizing active Elastic Load Balancers.,CQ-AWS-ASG-005,#REF!,#REF!,TBD,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-GLU-001,,,,,#REF!,CQ-AWS-ASG-006,Network,MEDIUM,AutoScaling,Ensure that each AWS Auto Scaling Group has an associated Elastic Load Balancer.,CQ-AWS-ASG-006,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-GLU-002,,,,,#REF!,CQ-AWS-ASG-007,Data,MEDIUM,AutoScaling,Ensure an agent for AWS CloudWatch Logs is installed within Auto Scaling Group for app tier.,CQ-AWS-ASG-007,#REF!,#REF!,TT,P2,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-GLU-003,,,,,#REF!,CQ-AWS-ASG-009,Data,LOW,AutoScaling,Identify and remove empty AWS Auto Scaling Groups (ASGs).,CQ-AWS-ASG-009,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-GLU-004,,,,,#REF!,CQ-AWS-ASG-010,Data,MEDIUM,AutoScaling,Ensure AutoScaling Group Launch Configuration for Web Tier is configured to use a customer created Web-Tier IAM Role,CQ-AWS-ASG-010,#REF!,#REF!,TT,P2,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-GLU-005,,,,,#REF!,CQ-AWS-ASG-012,Data,HIGH,AutoScaling,Ensure AWS Launch Configurations are utilizing active Amazon Machine Images.,CQ-AWS-ASG-012,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-ACA-001,,,,,#REF!,CQ-AWS-ASG-013,Network,HIGH,AutoScaling,Ensure AWS Launch Configurations are utilizing active Security Groups.,CQ-AWS-ASG-013,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-ACM-001,,,,,#REF!,CQ-AWS-ASG-014,Network,MEDIUM,AutoScaling,Ensure AWS Auto Scaling Groups utilize multiple Availability Zones to improve environment reliability.,CQ-AWS-ASG-014,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-ACM-002,,,,,#REF!,CQ-AWS-ASG-015,Data,HIGH,AutoScaling,Ensure AWS Availability Zones used for Auto Scaling Groups and for their Elastic Load Balancers are the same.,CQ-AWS-ASG-015,#REF!,#REF!,N,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-ACM-007,,,,,#REF!,CQ-AWS-ASG-016,Data,MEDIUM,AutoScaling,Ensure there are no Amazon Auto Scaling Groups with suspended processes.,CQ-AWS-ASG-016,#REF!,#REF!,TBD,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-APIG-005,,,,,#REF!,CQ-AWS-ASG-017,Data,LOW,AutoScaling,Identify and remove unused AWS Auto Scaling Launch Configuration templates.,CQ-AWS-ASG-017,#REF!,#REF!,TBD,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-APIG-003,,,,,#REF!,CQ-AWS-ASG-018,Data,HIGH,AutoScaling,Ensure Auto Scaling Group launch configuration for app tier is configured to use an approved Amazon Machine Image.,CQ-AWS-ASG-018,#REF!,#REF!,TT,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-APIG-004,,,,,#REF!,CQ-AWS-ASG-019,Data,MEDIUM,AutoScaling,Ensure Auto Scaling Group launch configuration for app tier is configured to use a customer created app-tier IAM role.,CQ-AWS-ASG-019,#REF!,#REF!,TT,P2,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-APIG-006,,,,,#REF!,CQ-AWS-ASG-020,Data,HIGH,AutoScaling,Ensure Auto-Scaling Launch Configuration for Web-Tier is configured to use an approved Amazon Machine Image,CQ-AWS-ASG-020,#REF!,#REF!,TT,P2,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-APIG-007,,,,,#REF!,CQ-AWS-ASG-021,Data,HIGH,AutoScaling,Ensure Auto-Scaling Launch Configuration for App-Tier is configured to use an approved Amazon Machine Image,CQ-AWS-ASG-021,#REF!,#REF!,TT,P2,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-ASG-006,,,,,#REF!,CQ-AWS-ASG-022,Data,MEDIUM,AutoScaling,Ensure an agent for AWS CloudWatch Logs is installed within Auto Scaling Group for Web tier.,CQ-AWS-ASG-022,#REF!,#REF!,TT,P2,,,,,,,,,,,,,,,,,,,,,,
